,l_f,tau,l_g,g,mu,ll,standardisation_mean,standardisation_std,m,ideal_ll,ISE_f,ISE_eps
0,0.12647377822704103,2.2391511009745764,0.2655358135411435,1e-06,-0.09072730251195806,-10.639401059577326,-0.1046345612569327,1.1857151870886198,0,-24.55176,11.265862844325474,0.9250003742052545
1,0.09223368432600541,1.483496498608058,0.21377681091179163,1e-06,-0.08973847592406543,-8.03367755010874,-0.1306911847208941,1.138550294144593,1,-26.162416,8.158135405941058,3.730431419909418
2,0.12668204247212234,2.418302756968473,0.25390966122854114,1e-06,0.02581560726270894,-21.517428189771202,-0.22099400979508524,1.1116326191827972,2,-25.179024,9.345174015801973,2.717882578084173
3,0.1306727514322412,2.813188083450498,0.22921310103573772,1e-06,-0.03677305628934112,-4.35125649698652,-0.14932803592622254,0.9978687423798566,3,-16.098354,15.132926560137378,10.727194371834319
4,0.1038965606304412,2.165162998072093,0.12131418089590164,0.3027698993822858,-0.030033254359213744,-6.904464100301496,-0.06005170770949393,1.0456504091498762,4,-24.622196,8.423430909951213,22.473153417835725
5,0.1084105566113178,1.7717762174042104,0.1947313988570535,1e-06,-0.04995910633405988,-11.455126835469002,-0.027521920610998816,1.2105794012872002,5,-26.086752,13.877616903626386,30.988214055258315
6,0.126103786862247,2.147608178308055,0.23136218342107726,1e-06,-0.04883953440437633,-24.493740908240518,-0.12637355802346853,1.062376664754638,6,-29.934996,8.402217411403814,11.845939120722925
7,0.13239946036196698,2.72621103830301,0.24033595335528113,1e-06,-0.0004268391373012694,-10.012839499318277,-0.21179206741844875,1.0546430120399706,7,-20.630045,12.927649509311896,3.745841092128365
8,0.0976854135573336,2.0111472574223113,0.1903996784472425,1e-06,-0.012188333225024453,-8.808943566703833,-0.15747323985987646,1.160095135520163,8,-27.894533,12.68603462840306,12.3981235877504
9,0.09462810953882582,1.7394289892674033,0.18960429205536006,1e-06,0.019856039103286843,-9.148845613664802,-0.14855547398605004,1.1565730489924362,9,-26.816933,16.016163511551103,24.319163336511505
10,0.12218636702567978,2.707553185813357,0.24846392815432572,1e-06,0.011533039876327712,-14.335789805224197,-0.2001247909223889,1.2487499750652251,10,-26.368792,10.657472423678426,8.030593656411032
